news_id,title,content,full_story_link,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date,provincia,comunidad
4038109,Se abre un fondo de ayuda para Peter David,"La situación económica y de salud del guionista Peter David requiere de un fondo de ayuda humanitaria para prevenir su desahucio. Durante los últimos años hemos sido testigos de la precaria situación en la que se encuentra el responsable de haber dado vida en el mundo del cómic a historias tan vitales como El Increíble Hulk, Aquaman o Factor-X. En la página web de Go Found Me, podemos encontrar el nuevo comunicado de Graham Bell: Hola amigos. Estoy reiniciando una recaudación de fondos para Peter David y su familia. Los problemas de salud",https://meneame.net/story/abre-fondo-ayuda-peter-david,0,543.0,392,56,73,0,Política y Sociedad,16,2025-03-15 01:55:02,zanguangaco,tomosygrapas.com,https://www.tomosygrapas.com/se-abre-un-fondo-de-ayuda-para-peter-david/,2025-03-15 19:12:44,,
4037979,Vox abrirá un expediente al alcalde en funciones en un pueblo de Zamora por apoyar la eliminación de calles franquistas,"El PSOE proponía eliminar las calles dedicadas al General Franco, a José Antonio Primo de Rivera y a Ramiro Ledesma, con el fin de cumplir con la Ley de Memoria Democrática",https://meneame.net/story/vox-abrira-expediente-alcalde-funciones-pueblo-zamora-apoyar,0,402.0,375,117,188,0,Política y Sociedad,20,2025-03-15 01:20:02,Tkachenko,eldiario.es,https://www.eldiario.es/castilla-y-leon/provincias/zamora/vox-abrira-expediente-alcalde-funciones-pueblo-zamora-votar-favor-eliminar-calles-franquistas_1_12132927.html,2025-03-15 19:12:44,Zamora,Castilla y León
4038143,"Para ganar la carrera de la IA, OpenAI quiere que EEUU se olvide de unas leyes. En concreto, las del copyright","En una propuesta publicada por OpenAI, la empresa sugiere al Gobierno de EEUU que se plantee una ""estrategia del copyright que promueva la libertad para aprender"" y que ""preserve la capacidad de los modelos de IA americanos de aprender de materiales con copyright"". O lo que es lo mismo: que las leyes del copyright no se les apliquen.",https://meneame.net/story/ganar-carrera-ia-openai-quiere-eeuu-olvide-unas-leyes-concreto,0,320.0,375,106,148,0,Política y Sociedad,83,2025-03-15 01:00:03,robustiano,xataka.com,https://www.xataka.com/robotica-e-ia/openai-quiere-librarse-copyright-para-entrenar-sus-modelos-ia-su-excusa-china/amp,2025-03-15 19:12:44,,
4037775,El maquillaje contable de Ayuso para rebajar de 7.291 a más de 4.000 las muertes en residencias,El Gobierno madrileño solo tiene en cuenta las muertes de mayores con COVID y obvia que los 'protocolos de la vergüenza' no permitían el traslado de ningún residente con problemas cognitivos o de movilidad .,https://meneame.net/story/maquillaje-contable-ayuso-rebajar-7-291-mas-4-000-muertes,0,606.0,380,119,222,3,Política y Sociedad,40,2025-03-15 00:40:03,luspagnolu,cadenaser.com,https://cadenaser.com/cmadrid/2025/03/13/el-maquillaje-contable-de-ayuso-para-rebajar-de-7291-a-mas-de-4000-las-muertes-en-residencias-radio-madrid/,2025-03-15 19:12:44,,
4038145,El derecho a la presunción de inocencia divide al TC en el amparo a una víctima de violencia de género pese a que su exmarido fue absuelto,"Dos magistrados del Tribunal Constitucional (TC) consideran que la corte de garantías ha vulnerado el derecho a la presunción de inocencia al otorgar el amparo a una mujer que impugnó la resolución judicial que, al fijar las medidas previas a la sentencia de divorcio en julio de 2021, aunque le atribuyó en exclusiva la guarda y custodia de su hijo menor de edad le impuso la obligación de ejercerla en Vitoria, la ciudad donde reside su exmarido, ciudad que ella abandonó junto al pequeño tras denunciar a su expareja por violencia de género.",https://meneame.net/story/derecho-presuncion-inocencia-divide-tc-amparo-victima-violencia,0,442.0,411,76,78,3,Política y Sociedad,132,2025-03-15 00:20:03,Fartón_Valenciano,larazon.es,https://www.larazon.es/sociedad/derecho-presuncion-inocencia-divide-amparo-victima-violencia-genero-pese-que-exmarido-fue-absuelto_2025031467d48271de9a6f0001ac472c.html,2025-03-15 19:12:44,,
4038007,OpenAI pide bloquear DeepSeek y otras IA de China,"OpenAI ha enviado una propuesta al gobierno de EEUU en la que piden que se prohiban los modelos de IA creados en China. Aducen que DeepSeek fue desarrollado con el apoyo directo del Partido Comunista con la intención de desafiar la supremacía estadounidense. Y por eso piden hacer un bloqueo parecido al que han hecho a Huawei, puesto que la IA pone en riesgo la seguridad y la propiedad intelectual de las empresas norteamericanas.",https://meneame.net/story/openai-pide-bloquear-deepseek-otras-ia-china,0,432.0,408,130,134,1,Tecnología y Ciencia,71,2025-03-14 23:55:03,llorencs,hipertextual.com,https://hipertextual.com/2025/03/openai-pide-bloquear-deepseek-y-otras-ia-de-china,2025-03-15 19:12:44,,
4038149,Vuelo procedente de Newcastle a Tenerife Sur solicita presencia policial por una quincena pasajeros borrachos a bordo,"La tripulación de un vuelo procedente de Newcastle llegando a Tenerife Sur comunica que llevan cerca de una quincena de pasajeros en aparente estado de embriaguez y que requieren presencia policial a su llegada. Se recorta la ruta en lo posible y se coordina un ""comité de bienvenida"" formado por miembros de la Guardia Civil y seguridad del aeropuerto.",https://meneame.net/story/vuelo-procedente-newcastle-tenerife-sur-solicita-presencia-bordo,0,1776.0,448,78,123,0,Política y Sociedad,47,2025-03-14 23:30:02,Meneador_Compulsivo,xcancel.com,https://xcancel.com/controladores/status/1900647793829499083,2025-03-15 19:12:44,Santa Cruz de Tenerife,Canarias
4038153,JD Vance es abucheado en un concierto del Kennedy Center de Washington,"Donald Trump tomó recientemente el control del centro cultural, menospreciando el pasado tolerante de la institución",https://meneame.net/story/jd-vance-abucheado-concierto-kennedy-center-washington,0,949.0,384,95,146,0,Política y Sociedad,11,2025-03-14 23:20:02,Verdaderofalso,amp.elperiodico.com,https://amp.elperiodico.com/es/internacional/20250314/jd-vance-abucheado-concierto-kennedy-115310597,2025-03-15 19:12:44,,
4038151,'Starship Troopers' regresa con una nueva película dirigida por Neill Blomkamp [ENG],"Columbia Pictures trabaja en una nueva película de Starship Troopers y ha contratado al director de Distrito 9, Neill Blomkamp, para escribir y dirigir una adaptación de la clásica novela de ciencia ficción de Robert A. Heinlein. Blomkamp también producirá el proyecto junto a Terri Tatchell, su pareja y socia, quien coescribió Distrito 9 y Chappie (2015). La película no será un remake de la de Paul Verhoeven de 1997, sino que volverá a la novela de 1959 como fuente original.",https://meneame.net/story/starship-troopers-regresa-nueva-pelicula-dirigida-neill-blomkamp,0,573.0,444,77,62,0,Entretenimiento y Cultura,92,2025-03-14 23:00:02,Meneador_Compulsivo,hollywoodreporter.com,https://www.hollywoodreporter.com/movies/movie-news/new-starship-troopers-movie-in-the-works-1236163598/,2025-03-15 19:12:44,,
4038124,Jeffrey Sachs: El ascenso de China asusta a EE.UU,"El economista estadounidense, Jeffrey Sachs, afirmó que el ascenso de China ha generado temor en EE.UU., llevándolo al proteccionismo, una estrategia que considera equivocada. Sugirió que Washington debería recuperar su confianza y competir abiertamente en lugar de cerrar su economía.",https://meneame.net/story/jeffrey-sachs-ascenso-china-asusta-ee-uu,0,782.0,395,75,99,2,Política y Sociedad,42,2025-03-14 22:45:02,FatherKarras,youtube.com,https://www.youtube.com/watch?v=6Dc9K6nW2Zg,2025-03-15 19:12:44,,
